entity_id,state,last_changed
switch.wasserbett_heizung,on,2025-09-26T18:43:12.140Z
switch.wasserbett_heizung,off,2025-09-26T18:43:42.073Z
switch.wasserbett_heizung,on,2025-09-26T18:44:11.946Z
switch.wasserbett_heizung,off,2025-09-26T18:44:41.994Z
switch.wasserbett_heizung,on,2025-09-26T18:45:11.994Z
switch.wasserbett_heizung,off,2025-09-26T18:45:42.118Z
switch.wasserbett_heizung,on,2025-09-26T18:46:12.058Z
switch.wasserbett_heizung,off,2025-09-26T18:46:42.046Z
switch.wasserbett_heizung,on,2025-09-26T18:47:12.073Z
switch.wasserbett_heizung,off,2025-09-26T18:47:41.988Z
switch.wasserbett_heizung,on,2025-09-26T18:48:11.994Z
switch.wasserbett_heizung,off,2025-09-26T18:48:42.063Z
switch.wasserbett_heizung,on,2025-09-26T18:49:12.081Z
switch.wasserbett_heizung,off,2025-09-26T18:49:42.030Z
switch.wasserbett_heizung,on,2025-09-26T18:50:12.031Z
switch.wasserbett_heizung,off,2025-09-26T18:50:42.051Z
switch.wasserbett_heizung,on,2025-09-26T18:51:11.985Z
switch.wasserbett_heizung,off,2025-09-26T18:51:41.920Z
switch.wasserbett_heizung,on,2025-09-26T18:52:11.988Z
switch.wasserbett_heizung,off,2025-09-26T18:52:41.990Z
switch.wasserbett_heizung,on,2025-09-26T18:53:12.095Z
switch.wasserbett_heizung,off,2025-09-26T18:53:42.114Z
switch.wasserbett_heizung,on,2025-09-26T18:54:11.994Z
switch.wasserbett_heizung,off,2025-09-26T18:54:42.069Z
switch.wasserbett_heizung,on,2025-09-26T18:55:12.058Z
switch.wasserbett_heizung,off,2025-09-26T18:55:42.115Z
switch.wasserbett_heizung,on,2025-09-26T18:56:12.031Z
switch.wasserbett_heizung,off,2025-09-26T18:56:41.982Z
switch.wasserbett_heizung,on,2025-09-26T18:57:12.100Z
switch.wasserbett_heizung,off,2025-09-26T18:57:42.082Z
switch.wasserbett_heizung,on,2025-09-26T18:58:11.962Z
